epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_top5,test_top5
1,2.0521504938517334,0.9765203757001059,0.4787027178660002,0.7196720475352562,0.7677445473729846,0.9361818784586744
2,1.365066307763672,0.8589569070068295,0.607445920013261,0.7471501797873155,0.8822321821346373,0.9475174049422386
3,1.2593407174401359,0.7851765338910546,0.6330817144933727,0.7609338739703669,0.8976512741391511,0.9547471501797873
4,1.206252959307993,0.742855210253921,0.645686033241739,0.7694642082982684,0.9043710272806676,0.9582536403743657
5,1.1689596151160202,0.7274892135925655,0.6555265825528687,0.7752148522173768,0.9089199303797871,0.95942672073037
6,1.1420945583260191,0.7215593714146943,0.6621220138857897,0.778211307474562,0.9123339985081383,0.960026011781807
7,1.1194750472222335,0.683568039441634,0.6685038667270212,0.7883610027286869,0.9152826567889271,0.9631244740264708
8,1.1037494831823758,0.6980524315840368,0.6713728315407617,0.7853772983449366,0.9168510242204385,0.9627164460765563
9,1.0921615313347968,0.68184459909207,0.6739740263052196,0.7902353811236069,0.9181611848187133,0.9646035753449111
10,1.0780403014015587,0.6750897948156324,0.678197780058782,0.7896105883253003,0.9204085405894766,0.9645143192308673
11,1.0708474297698105,0.6617196802033156,0.6797661474902933,0.7945324254711448,0.9209536439040873,0.9652283681432178
12,1.058201600414838,0.6744190379946828,0.6831068976289599,0.7913192053655675,0.9220055976691255,0.9647183332058246
13,1.0557321807478264,0.6537477509743678,0.6834224837584714,0.7976308877158085,0.9227738426914716,0.9663121923851784
14,1.0469652106419285,0.6542291442188425,0.6856794027452805,0.7981536735266366,0.9235644018845911,0.9659424170555683
15,1.0419767648954383,0.6526731958697154,0.6877099922856724,0.7974396246142861,0.9241222561539295,0.9659041644352638
16,1.0357503067353997,0.6465309120802819,0.6890679689641762,0.7992374977685971,0.9249383172565045,0.9668859816897457
17,1.0314308077017904,0.6413341269888035,0.6901996161962627,0.8012521357713004,0.9252666543407437,0.9672047535256165
18,1.0255445563509873,0.6337693681927518,0.6917616081504102,0.8037768087113968,0.9253718497172476,0.9680080585520108
19,1.0219327405897611,0.6406814576605786,0.6929888875429547,0.7997857853262949,0.9262835429802806,0.9669624869303547
20,1.0183097518986584,0.6372045944146554,0.6934032935716061,0.8017749215821284,0.927230301368815,0.9668859816897457
21,1.0145372513792603,0.6267753209035671,0.6946178220094229,0.8026547318491317,0.9274693817699601,0.9687731109581006
22,1.010464218287432,0.640285901193325,0.6957335305480998,0.8032412720271339,0.9278200330249727,0.9675490271083569
23,1.0099490117882037,0.6508714872591352,0.6950927950730311,0.8000535536684263,0.9280750521195275,0.96581490832122
24,1.0060390084009179,0.639910012933489,0.6966771011979522,0.801953433810216,0.9283396344301279,0.9663631958789177
25,1.0020565435332893,0.6233028693862567,0.6985323651108377,0.8065309973733201,0.9285340864897259,0.968671103970622
26,0.9980002332589715,0.6256108043912185,0.6991986024953618,0.8067222604748425,0.9289325538249676,0.9685053426159692
27,0.9965550442500194,0.613280287333918,0.6993930545549598,0.8091066738071558,0.92939796367253,0.9684670899956647
28,0.9950649967452839,0.6272406370991933,0.6997947096288835,0.8042230892816158,0.9291684464874308,0.9678805498176625
29,0.9916359582533646,0.6127685207777829,0.7007064028919165,0.8108917960880321,0.9300897029665096,0.9691556371611455
30,0.9885436772619253,0.625004531849846,0.7015256517331735,0.8054471731313595,0.9302363389458785,0.9678677989442277
31,0.9854940776373113,0.6120754694121558,0.7029505709239979,0.8106622803662051,0.9312181624599142,0.9694489072501467
32,0.9887308380291054,0.6279696432401676,0.7014013299245782,0.8042613419019203,0.9302012738203773,0.9679060515645321
33,0.9829537255491154,0.6163991761725565,0.7030748927325934,0.8075255655012369,0.9311257180381382,0.9683395812613164
34,0.9838020922103156,0.6089845677691058,0.7033107853950564,0.8131742024328666,0.9304786070857055,0.9699079386938005
35,0.9802640215267653,0.6192243300083461,0.703623183785886,0.8065437482467549,0.930937641455904,0.9682375742738377
36,0.9799772502754912,0.6143531449190796,0.7037283791623898,0.8081631091729784,0.9307272507028964,0.9688368653252748
37,0.9768159319306577,0.6134622378015654,0.7050863558408936,0.8076403233621503,0.9313743616553289,0.9684033356284906
38,0.9762495076842378,0.6073386954354151,0.7054593212666799,0.8119756203299926,0.931855710196301,0.969716675592278
39,0.9762385192299463,0.6100188874069986,0.7048950915199775,0.8098207227195063,0.9320724764266725,0.9689133705658838
40,0.9755413476172539,0.6212635510603003,0.704777145188746,0.8076785759824548,0.9317664535132067,0.9683395812613164
41,0.9735836742460265,0.6170255400571761,0.7056792752357333,0.8097442174788974,0.9318302082868455,0.9692576441486241
42,0.9722553149552697,0.6114340747487346,0.7055422024724102,0.8086221406166323,0.9319672810501687,0.9693724020095377
43,0.9689527096212373,0.6089246343138849,0.707665236434578,0.8109938030755107,0.9322956181344079,0.9699589421875399
